CMDLINE /global/homes/t/tommylin/.conda/envs/myenv/bin/python main.py
MEM 4692.628906 1707870168.2431
MEM 4692.628906 1707870168.3433
MEM 4692.628906 1707870168.4435
MEM 4692.628906 1707870168.5437
MEM 4692.628906 1707870168.6439
MEM 4692.628906 1707870168.7441
MEM 4692.628906 1707870168.8442
MEM 4692.628906 1707870168.9444
MEM 4692.628906 1707870169.0446
MEM 4692.628906 1707870169.1448
MEM 4692.628906 1707870169.2450
MEM 4692.628906 1707870169.3452
MEM 4692.628906 1707870169.4453
MEM 4692.628906 1707870169.5455
MEM 4692.628906 1707870169.6457
MEM 4692.628906 1707870169.7459
MEM 4692.628906 1707870169.8460
MEM 4692.628906 1707870169.9462
MEM 4692.628906 1707870170.0464
MEM 4692.628906 1707870170.1466
MEM 4692.628906 1707870170.2468
MEM 4692.628906 1707870170.3470
MEM 4692.628906 1707870170.4472
MEM 4692.628906 1707870170.5474
MEM 4692.628906 1707870170.6484
MEM 4692.628906 1707870170.7486
MEM 4692.628906 1707870170.8488
MEM 4692.628906 1707870170.9490
MEM 4692.628906 1707870171.0492
MEM 4692.628906 1707870171.1494
MEM 4692.628906 1707870171.2495
MEM 4692.628906 1707870171.3497
MEM 4692.628906 1707870171.4499
MEM 4692.628906 1707870171.5501
MEM 4692.628906 1707870171.6503
MEM 4692.628906 1707870171.7505
MEM 4692.628906 1707870171.8507
MEM 4692.628906 1707870171.9508
MEM 4692.628906 1707870172.0510
MEM 4692.628906 1707870172.1512
MEM 4692.628906 1707870172.2521
MEM 4692.628906 1707870172.3523
MEM 4692.628906 1707870172.4524
MEM 4692.628906 1707870172.5531
MEM 4692.628906 1707870172.6534
MEM 4692.628906 1707870172.7536
MEM 4692.695312 1707870172.8538
MEM 4589.968750 1707870172.9540
MEM 4522.011719 1707870173.0542
MEM 4522.250000 1707870173.1543
MEM 4523.265625 1707870173.2552
MEM 4523.433594 1707870173.3554
MEM 4523.578125 1707870173.4556
MEM 4523.671875 1707870173.5558
MEM 4523.687500 1707870173.6559
MEM 4523.839844 1707870173.7561
